publishedDateTime,resourceId,assessProperties_patchId,assessProperties_patchName,assessProperties_version,assessProperties_kbId,rebootRequired,osType,classification,msrcSeverity,classificationPriority,count_
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,nss-tools.x86_64_3.90.0-2.el7_9_CentOS Linux_7.9.2009,nss-tools.x86_64,3.90.0-2.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,grub2-tools.x86_64_1_2.02-0.87.0.2.el7.centos.14_CentOS Linux_7.9.2009,grub2-tools.x86_64,1:2.02-0.87.0.2.el7.centos.14,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,grub2-tools-extra.x86_64_1_2.02-0.87.0.2.el7.centos.14_CentOS Linux_7.9.2009,grub2-tools-extra.x86_64,1:2.02-0.87.0.2.el7.centos.14,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,diffutils.x86_64_3.3-6.el7_9_CentOS Linux_7.9.2009,diffutils.x86_64,3.3-6.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,cronie.x86_64_1.4.11-25.el7_9_CentOS Linux_7.9.2009,cronie.x86_64,1.4.11-25.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,samba-common.noarch_4.10.16-25.el7_9_CentOS Linux_7.9.2009,samba-common.noarch,4.10.16-25.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,strace.x86_64_4.24-7.el7_9_CentOS Linux_7.9.2009,strace.x86_64,4.24-7.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,centos-release.x86_64_7-9.2009.2.el7.centos_CentOS Linux_7.9.2009,centos-release.x86_64,7-9.2009.2.el7.centos,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,iwl2030-firmware.noarch_18.168.6.1-83.el7_9_CentOS Linux_7.9.2009,iwl2030-firmware.noarch,18.168.6.1-83.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,kernel.x86_64_3.10.0-1160.119.1.el7_CentOS Linux_7.9.2009,kernel.x86_64,3.10.0-1160.119.1.el7,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,iwl135-firmware.noarch_18.168.6.1-83.el7_9_CentOS Linux_7.9.2009,iwl135-firmware.noarch,18.168.6.1-83.el7_9,,N/A,Linux,Other,NotAvailable,2,1
